VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_Date | METIN=29/12/25
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_DateTime | METIN=21:59
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_FailCrash | METIN=21
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_SuccessScore | METIN=22
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_TotalCrash | METIN=50
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardItem.WBP_ScoreboardItem_C:WidgetTree.TextBlock_TotalTime | METIN=29:18
VIS=false | TextBlock /Game/Game/Widget/Kill/WBP_KillFeedItem.WBP_KillFeedItem_C:WidgetTree.TextBlock_Enemy | METIN=Soldier
VIS=false | TextBlock /Game/Game/Widget/Kill/WBP_KillFeedItem.WBP_KillFeedItem_C:WidgetTree.TextBlock_EnemyCount | METIN=FText: 00000241D82309E8
VIS=false | TextBlock /Game/Game/Widget/Kill/WBP_KillFeedItem.WBP_KillFeedItem_C:WidgetTree.TextBlock_PlayerName | METIN=hod
VIS=false | TextBlock /Game/Game/Widget/WBP_SettingsRows.WBP_SettingsRows_C:WidgetTree.RowName | METIN=Text Block
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_WarningInfo.WBP_WarningInfo_C:WidgetTree.Text_Warning | METIN=WARNING!
VIS=false | TextBlock /Game/Game/Widget/Game/WBP_WarningInfo.WBP_WarningInfo_C:WidgetTree.TextBlock_Info | METIN=INFORMATION
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsOption.WBP_SettingsOption_C:WidgetTree.SelectionText | METIN=Text Block
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsOption.WBP_SettingsOption_C:WidgetTree.TextBlock | METIN=>
VIS=false | TextBlock /Game/Game/Widget/Menu/WBP_SettingsOption.WBP_SettingsOption_C:WidgetTree.TextBlock_79 | METIN=<
VIS=false | TextBlock /Game/EasyGameUI/Core/CommonWidgets/WBP_EGUI_CommonText.WBP_EGUI_CommonText_C:WidgetTree.TextWidget | METIN=Default
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date | METIN=Date
VIS=false | TextBlock /Game/Game/Widget/Scoreboard/WBP_ScoreboardBase.WBP_ScoreboardBase_C:WidgetTree.TextBlock_Date_1 | METIN=Hour
